features,site,L,epoch,unit1,unit2,dropout,mse,rmse,mae,test_r2
col2,Torgnon,14,100,32,64,0.2,1.3069413680837914,1.1432153638242408,0.6560059617341096,0.851483019480806
col2,Torgnon,14,150,32,64,0.2,2.334739104922969,1.52798530913192,0.873934620383358,0.7346871017851091
col2,Torgnon,14,50,32,64,0.3,1.3123761280828836,1.1455898603264973,0.6537155868679122,0.8508654293083446
col2,Torgnon,14,100,32,64,0.3,1.5930352317938534,1.2621549951546576,0.7093656351128372,0.8189721526424674
col2,Torgnon,14,150,32,64,0.3,1.864389065180402,1.365426330923936,0.78536235289247,0.788136299580469
col2,Torgnon,3,50,32,128,0.1,1.0095758943481814,1.004776539509249,0.5676167836702232,0.8848019560198132
col2,Torgnon,3,100,32,128,0.1,1.1842793269489618,1.0882459864152783,0.6131692104425566,0.8648673539508642
col2,Torgnon,3,150,32,128,0.1,1.2532687279908408,1.119494853936739,0.6404090261465721,0.8569952919296921
col2,Torgnon,3,50,32,128,0.2,1.5930734157952204,1.2621701215744336,0.7337089601221162,0.8182217479202684
col2,Torgnon,3,100,32,128,0.2,1.2503143897836742,1.1181745792959497,0.6783304125824522,0.8573323978220047
col2,Torgnon,3,150,32,128,0.2,1.1275357237978756,1.061854850625958,0.6055475113180365,0.871342104514925
col2,Torgnon,3,50,32,128,0.3,1.2565505891186186,1.1209596732793818,0.646283002612426,0.8566208139091183
col2,Torgnon,3,100,32,128,0.3,1.276252585906491,1.1297134972666703,0.6140871522432145,0.8543727100219586
col2,Torgnon,3,150,32,128,0.3,1.1417225588928337,1.0685141828224993,0.6064180375794591,0.8697233102644305
col2,Torgnon,5,50,32,128,0.1,1.1172020392321313,1.0569777855906581,0.6082418938664589,0.8727888631573107
col2,Torgnon,5,100,32,128,0.1,1.1592994353246955,1.0767076833220313,0.6130929670351952,0.8679954082342131
col2,Torgnon,5,150,32,128,0.1,1.265644933243329,1.125008859184375,0.6200252260705887,0.8558862899071202
col2,Torgnon,5,50,32,128,0.2,1.3098971374979969,1.144507377651187,0.6594822293240202,0.8508474759653731
col2,Torgnon,5,100,32,128,0.2,1.3413116827241622,1.1581501123447522,0.6518531299736174,0.8472704327168992
col2,Torgnon,5,150,32,128,0.2,1.4021403078225347,1.1841200563382646,0.6732267712701749,0.8403441308667341
col2,Torgnon,5,50,32,128,0.3,1.3368231468142637,1.1562106844404543,0.6516287340925335,0.8477815235812247
col2,Torgnon,5,100,32,128,0.3,1.5352360397373928,1.2390464235602283,0.7093810509394372,0.8251890749581037
col2,Torgnon,5,150,32,128,0.3,1.6138884127652473,1.2703890792844716,0.7344751093084437,0.8162332572663229
col2,Torgnon,7,50,32,128,0.1,1.4643257155438947,1.2100932672913665,0.7095409429579064,0.8332633378378408
col2,Torgnon,7,100,32,128,0.1,1.690330480051459,1.3001271014987184,0.7614184760298514,0.8075291178711175
col2,Torgnon,7,150,32,128,0.1,1.9918421700829423,1.4113263868017711,0.7755682805447015,0.7731972392015906
col2,Torgnon,7,50,32,128,0.2,1.303946168993893,1.1419046234225925,0.6937410126429068,0.8515250879300293
col2,Torgnon,7,100,32,128,0.2,1.6906017296446927,1.3002314138816569,0.7239656718335471,0.8074982318112002
col2,Torgnon,7,150,32,128,0.2,1.706281633802278,1.306247156476246,0.7222141498233895,0.8057128265188488
col2,Torgnon,7,50,32,128,0.3,1.0499717407753333,1.0246812874134734,0.6104452956090101,0.8804440968541994
col2,Torgnon,7,100,32,128,0.3,1.2016354296442364,1.096191328940453,0.6321900454291107,0.8631747851260991
col2,Torgnon,7,150,32,128,0.3,1.7300574513308342,1.3153164833342712,0.752279897834581,0.8030055733354847
col2,Torgnon,14,50,32,128,0.1,1.4737477297534018,1.2139801191755168,0.7154471464510254,0.8325276342037405
col2,Torgnon,14,100,32,128,0.1,2.418734043147021,1.5552279714392423,0.8761839176302726,0.7251421635739769
col2,Torgnon,14,150,32,128,0.1,1.9612729767220523,1.4004545607487777,0.7685659404696121,0.7771266962773375
col2,Torgnon,14,50,32,128,0.2,1.2183604452506558,1.103793660631667,0.6678302805375038,0.8615490955206743
col2,Torgnon,14,100,32,128,0.2,1.872217527171755,1.3682900011224794,0.7744863483834336,0.7872466961403625
col2,Torgnon,14,150,32,128,0.2,2.128732368267483,1.4590176038237108,0.8498371359830064,0.7580971026021649
