yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2021,4,10,14,30,3.95,0.2,,3.2029985033202726,-94.9572,1.3224901000000002,0.496179,29.623
2021,4,10,15,0,3.95,0.2,,3.2029985033202726,-125.906,1.2633368999999999,0.560489,30.5383
2021,4,10,15,30,3.95,0.2,,3.2029985033202726,-103.96,1.2059103999999998,0.5406989999999999,33.8909
2021,4,10,16,0,3.95,0.2,,3.2029985033202726,-123.523,1.3538722,0.5721189999999999,37.4735
2021,4,10,16,30,3.95,0.2,,3.2029985033202726,-112.912,1.1736779,0.5201,29.7364
2021,4,10,17,0,3.95,0.2,,3.2029985033202726,-100.738,1.0200343,0.461639,36.244
2021,4,10,17,30,3.95,0.2,,3.2029985033202726,-145.67600000000002,1.0855322,0.512987,38.3782
2021,4,10,18,0,3.95,0.2,,3.2029985033202726,-136.529,0.89805067,0.405979,39.8997
2021,4,10,18,30,3.95,0.2,,3.2029985033202726,-212.69299999999998,0.91923285,0.408572,37.3072
2021,4,10,19,0,3.95,0.2,,3.2029985033202726,-450.74800000000005,0.6449805999999999,0.342935,37.7731
2021,4,10,19,30,3.95,0.2,,3.2029985033202726,900.954,0.6383369000000001,0.243862,55.1003
2021,4,10,20,0,3.95,0.2,,3.2029985033202726,728.22,0.35407484,0.214168,58.7143
2021,4,10,20,30,3.95,0.2,,3.2029985033202726,106.51799999999999,0.39945462,0.15160099999999999,44.5865
2021,4,10,23,0,3.95,0.2,,3.2029985033202726,-150.263,0.5941094,0.172925,348.94699999999995
2021,4,10,23,30,3.95,0.2,,3.2029985033202726,-387.615,0.60854334,0.220631,11.2225
2021,4,11,0,0,3.95,0.2,,3.2029985033202726,-96.2351,0.40016374,0.185289,18.1364
2021,4,11,0,30,3.95,0.2,,3.2029985033202726,-8967.98,0.5101147,0.267872,27.2204
2021,4,11,1,0,3.95,0.2,,3.2029985033202726,191.72799999999998,0.5076741,0.24880300000000002,34.5542
2021,4,11,1,30,3.95,0.2,,3.2029985033202726,283.13,0.44150877,0.241465,37.654
2021,4,11,2,0,3.95,0.2,,3.2029985033202726,265.724,0.5086069000000001,0.269842,29.9897
2021,4,11,2,30,3.95,0.2,,3.2029985033202726,4888.21,0.5472924,0.27685,22.6134
2021,4,11,6,0,3.95,0.2,,3.2029985033202726,193.87400000000002,0.34049082,0.184167,63.7064
2021,4,11,7,0,3.95,0.2,,3.2029985033202726,134.167,0.5246341,0.23845999999999998,44.855
2021,4,11,7,30,3.95,0.2,,3.2029985033202726,-32.7092,0.44144195,0.20241900000000002,39.291
2021,4,11,8,0,3.95,0.2,,3.2029985033202726,-122.979,0.6465331,0.28665999999999997,82.196
2021,4,11,8,30,3.95,0.2,,3.2029985033202726,-121.52,0.70765173,0.372076,71.9331
2021,4,11,9,0,3.95,0.2,,3.2029985033202726,-146.918,0.8024555999999999,0.32143299999999997,82.2038
2021,4,11,9,30,3.95,0.2,,3.2029985033202726,-70.1316,0.82512003,0.32984600000000003,71.0858
2021,4,11,10,0,3.95,0.2,,3.2029985033202726,-83.95700000000001,0.9919621999999999,0.387696,72.3611
2021,4,11,10,30,3.95,0.2,,3.2029985033202726,-83.3813,1.041907,0.363609,63.3668
2021,4,11,11,0,3.95,0.2,,3.2029985033202726,-67.6006,1.0006448000000001,0.411386,46.7083
2021,4,11,11,30,3.95,0.2,,3.2029985033202726,-63.6856,1.0637997,0.41226,46.5939
